name,status,current_stage,derived_stage,change_type,contract_end,current_stage_date,derived_stage_date
AGNES DOS SANTOS LASH EXPERTS,Active,not_started,contacted,stage,2026-10-28,,2026-08-28
KILLIK & CO,Active,not_started,in_discussion,stage,2026-10-13,,2026-08-10
LITTLE BIRD,Active,contacted,in_discussion,stage,2025-04-28,,2026-04-07
MY PLACE,Active,not_started,in_discussion,stage,2026-10-01,,2026-07-09
ODDONO'S GELATERIA,Active,contacted,in_discussion,stage,2026-07-01,,2026-04-28
OMNIA LIFESTYLE,Active,not_started,in_discussion,stage,2026-09-03,,2026-06-05
ROCKS LANE,Active,not_started,in_discussion,stage,2026-09-23,,2026-06-25
THE PACKHORSE & TALBOT,Active,not_started,in_discussion,stage,2026-08-29,,2026-06-02
THE PILOT,Active,not_started,in_discussion,stage,2026-09-01,,2026-06-06
THEATRE AT THE TABARD,Active,not_started,in_discussion,stage,2026-11-01,,2026-08-09
ARTS ED,Active,in_discussion,in_discussion,date fill (slot was empty),2026-04-14,,2026-04-10
Doctor Dough Pizza,Prospect,not_started,not_started,date fill (slot was empty),2027-08-04,,2026-07-17
Maison Sage,Prospect,not_started,not_started,date fill (slot was empty),2027-09-08,,2026-09-08
